label	text
36563	 щедрота свой губа гибкий нежный тело или 
36563	 что делать михалыч спрашивать непослушный губа 
36563	 горестно поджимать губа тут ничто 
36563	 улыбаться кивнуть кажется даже шаркнуть нога лицо совсем изменяться просветлеть нахмуриваться губа шевельнуться веко дрогнуть 
36563	 только губа немного подрагивать глаз часто 
36563	 павел алексеевич раскрывать портфель отсчитывать дензнак наутро василиса завертывать отдельно каждый порция газетка весь газетный сверток почему-то старый полотенце уцепляться жесткий палец еленин рукав идти почта они отправлять почтовый перевод василиса шевелить губа елена думать что она считать 
36563	 она слегка встряхивать голова пушистый завиток бок лоб всегда выбиваться пучок подрагивать губа морщиться уголок 
36563	 василиса сжинать свой темный губа молчать 
36563	 лежать как паралич мочь даже пошевелить губа 
36563	 весь оттенок между черный белый говорить уже розовый зеленый она как будто замечать потому пождать губа жарить лук хранить полный 
36563	 лабораторный стол стоять высокий женщина черный седой челка узкоглазый некрасивый слишком короткий расстояние между кончик нос верхний губа 
36563	 спрашивать что дело мужик презрение глядеть гомонить вокруг мелкота покривить налимий губа 
36563	 пожить они чуять нос бледно-розовый кожа спина лопатка икра нога пушок верхний губа 
36563	 мерзость какой-то один губа произносить андрей николаевич когда определять 
36563	 жених непринужденный подниматься помогать подниматься невеста осторожно приобнимать она сзади чмокать полумертвый холодный губа 
36563	 уже невеста глядеть смело лицо разгораться румянец губа начинать вздуваться она прикрываться 
36563	 бас оказываться огромный дядя огненный лысина легко приподымать над стол завизжать забивать рука нога соседка ловко перехватывать она рука размашистый гулко чмокать прямо ядовитый красный губа 
36563	 жених отвечать наклоняться невеста она вмиг понимать что она требоваться кокетливый подставлять лицо медлить тогда она вытягивать шея затем тело весь выструниваться приподниматься переставать улыбаться сам целовать подставлять губа отрываться хватать воздух ахать 
36563	 жизнерадостный бас среди танцевать охотничий красться свой партнерша тоже веселый повизгивать приседать место толстушка маленький глазок выворачивать губа вдруг отпрядывать она 
36563	 тронуть губа кончик палец рука возлюбленная 
36563	 даже глаз люба серый глаз четко очерчивать зрачок как чуть сонный переутомленность курносый нос щека слегка выступать скула овевать румянец яблочный алый мгла подбородочек будто донышко новенький детский игрушка все весь этот деталь лицо сам себя загляденье являться все второстепенный сравнение несравненный губа люба 
36563	 признаваться единожды утрачивать присутствие дух приближать разглядывание люба сердце мой страгиваться место откатиться какой-то совершенно пустой угол сметь оттуда возвращаться потому как неодолимый влечь впиваться этот перенапрягать яркий пламень губа раскусывать они ожигаться 
36563	 конечно воображать что мочь статься мужчина награждать поцелуй этакий яростно жаркий губа 
36563	 стегать прутик сапог беспечно напевать нет свет красивый наш люба темный коса обвивать стан как коралл алый губа глаз лаз зурный 
36563	 спекаться губа девушка что-то обесцвечивать тонкий кожа 
36563	 она надо ощупка глядеть брать брать класть меж губа сразу тихота наставать 
36563	 она улыбаться прикусывать нижний губа спина игорек 
36563	 барби маша ласково улыбаться ответ маленький нелепый парик штампованный стоить цыпочки пластиковый нос пластиковый губа грубый плохо сделать рука 
36563	 шрам портить мужественный этот лицо шрам рассекать нижний губа широкий подбородок исчезать шея 
36563	 сладкий персиковый компот губа крепко поцеловать она 
36563	 сквозь прозрачный колебание нагревать пламень свеча воздух глаз батюшка казаться подернуть неземной слеза губа сочный живой читать привычный скороговорка 
36563	 скула лицо вспыхивать отчего еще много становиться видно что красивый длинный плечо темный волос почти сходиться овал складка губа тонкий нитка нос 
36563	 скашивать глаз только видеть бежать вдали вода ручей фон прыгать вода профиль юноша нежный чистый неожиданно припухлый нижний губа капризно выпячиваться как молоденький 
36563	 прижимать палец губа вовка понимать 
36563	 вот если свадьба старый князь тянуть невеста синий свой губа зуб половина нету 
36563	 ринат пристально посмотреть рука потом оглянуться лицо сестра хозяйка собирать весь свой обида горечь кулак ударять кулак светлана расшибать она губа кровь 
36563	 слушать говорить жених елозить губа шея щека 
36563	 под антикварный часы накрывать стол шумный мстительный накрасить женщина рассматривать будуар новый людин шмотки мужчина располагаться кабинет где крыть зеленый сукно письменный стол стоять лысый античный голова презрительно поджинать тонкий губа простегивать кожа стена 
36563	 вечер дочь наряжаться ярко накрасить губа куда-то уходить 
36563	 мать дернуть она рука прикладывать палец губа сделать страшный глаз кивнуть 
36563	 тот восхищенный качать голова судя движение губа что-то говорить 
36563	 рисовать она очень старательный хмуриться поджимать губа как подобать круглый отличница 
36563	 давно замечать что человек такой векастый глаз всегда держать наготове выпячивать губа 
36563	 когда хотеться курить останавливаться оттопыривать нижний губа показывать что ждать сигарета 
36563	 только подносить стакан настойка губа она так воротить 
36563	 бенкендорф изумленно воззриться давний предместник свой тот гневливый шлепать губа подавать шеф жандарм платок 
36563	 тянуть как всегда блюдечко топырить губа жмуриться 
36563	 наметать глаз милий алексеевич зацеплять нахально въедливый который который вычеркнуть первое заменять век душить поджинать губа еще абзац нет 
36563	 ремонт заканчивать артель шапка мять труд праведный поставлять палата каменный пожаловать барин как рядиться львов глаз прятать губа междометие снова сикурс 
36563	 что-то бубнить очередь ждать старушенция покачивать голова торжествовать записывать опостылеть книга еще поджинать губа кивать вслед мол сам 
36563	 бестолковый кинуться защита зубр что-то кричать возмущаться сам зубр ничто отвечать выпячивать брезгливый нижний губа запыхтеть молча выходить 
36563	 как себя чувствовать кира петровна спрашивать кариатида улыбка почти затрагивать губа 
36563	 видимо это быть уже явный перебор его актерский мастерство потому что бабушка так проливать очистительный слеза садиться табуретка приниматься плотно сжинать морщинистый все равный изящный ротик милый родинка над верхний губа очень внимательно глядеть куда-то 
36563	 при это людмила борисовна трогать мой губа оттягивать нос касаться ухо 
36563	 вот тогда когда показываться огонь калуга снова воздух повеять аромат выделывать кожа сысоев прокричать сквозь стягивать холод губа 
36563	 оскал рот одинаковый весь молодой старый слишком белый слишком ровный зуб выворачивать губа женщина весь этот шуметь галдеть 
36563	 она передразнивать она обижаться топырить верхний губа тот выпуклость который папа называть 
36563	 как отрадно зарыться они лицо перебирать губа кольцо 
36563	 разлеплять темный трещина губа сказать один слово сын 
36563	 пышный женщина халат весь цвет радуга выходить дверь туалет брезгливый поджинать губа несомненно оскорблять весь увидеть 
36563	 вика что-то подсказывать беззвучно шевелить губа 
36563	 лепной свод ухо теряться полумрак форпост широкий прочный лоб хватать бойница овраг темнеть размыкать губа мерцать болотце глаз подернуть ледяной 
36563	 почему нельзя вытягивать губа трубочка глаз скашивать рот 
36563	 тогда губа аркадий лукьянович сам себя 
36563	 едва душа покидать тело как ангел опускать хохол свой вспархивать зажимать крыло твердый губа мертвец полагать они печать 
36563	 когда однажды мама замечать окно что федька прикасаться губа мой щека этот факт 
36563	 всегда все ходить рука спина мускул губа глаз артист подумать зыбин любоваться 
36563	 перезванивать стоять кусать губа понимать что она нет дома 
36563	 сегодня посмотреть она губа посинеть 
36563	 все что говорить слушать сей пора вызывать ровно никакой образ сейчас вдруг увидеть женский лицо почти неживой белизна точность твердость очертание короткий блестящий черный волос злой губа она быть очень красивый 
36563	 кто это спрашивать зыбин буддо опять сказать тсс прикладывать палец губа 
36563	 самый дело ведь вот-вот должный начинаться война надо она готовить народ этот время подавиться слово или задрожать губа хотеть что-то сказать 
36563	 длинный белый белый лицо мокрый слеза пот губа закусывать лежать что 
36563	 она садиться переводить дыхание облизывать губа поправлять бок волос 
36563	 месяц проваляться сейчас утро температура нормальный час пять тридцать семь пять вот губа обметать так значит 
36563	 нос разбухать красный губа раскисать подлый бабий это 
36563	 зато рот стандартный такой выкраивать малиновый целлулоид губа можно увидеть любой мало-мальски 
36563	 референт уже крепко держать рука хвост свой жар-птица собираться она упускать проводить язык пересыхать губа очень просто сказать методично 
36563	 дотрагиваться она холодный мягкий губа 
36563	 начинать было она прижимать ладонь губа кивнуть тамарина комната 
36563	 огонь тень прыгать лицо казаться что утопленница поджимать губа щуриться 
36563	 она облизывать сухой губа как рад видеть 
36563	 сани нырять ухаб ухаб увозить неведомый улица неведомый куда метель только что зажигаться страусовый яйцо голубоватый электрический фонарь лубянский площадь посередине который возвышаться засыпать снег итальянский фонтан извозчик касторовый шляпа цилиндр металлический пряжка время время почмокивать губа понукать свой кляча приговаривать 
36563	 рядом идти очень маленький рост мальчик маленький носик крупный передний зуб по-детски выступать улыбаться губа добрый умный немного лукавый 
36563	 наконец желтый хвост упасть метель пожар губа как прелый морковь 
36563	 совсем девочка прилежный школьница немного выдаваться кувшинчик нижний губа что придавать выражение милый 
36563	 она полуоткрыть жаркий губа как просить напиваться над 
36563	 видно даром проходить шевеление этот губа вершина колобродить обрекать 
36563	 королевич льстивый тот время издевательский заглядывать лицо свой все еще хмельной глаз поцеловать губа 
36563	 замечательно говорить она как-то прикладываться губа чашечка кофе 
36563	 спина чувствовать что алевтина смотреть одеяло натягивать подбородок самый губа глаз она хотя 
36563	 михайлов медлительно обдумывать это облизывать губа 
36563	 если при заходить речь литература или вообще что знать лицо его делаться обиженный презрительно говорить бросать губа шлепать или обзывать гнилой 
36563	 первый что она получать это публичный порка площадь пятнадцать палочный удар извинять выражение задница что выходить улица накрасить губа думать свой старый привычка 
36563	 она приветливо улыбаться сказать добрый утро процеживать она сстос сквозь сжинать губа потому что плохо 
36563	 лев сказать глебов очень уверенно подходить мужик который сидеть там тень тот поза корточки теперь уже дремать наблюдать какой-то движение глубина двор мусолить губа папироска 
36563	 посматривать сбоку динка абажур видеть она пунцовый щека вздернутый нос черный кудри выбиваться из-под шерстяной лыжный шапочка замечать как она отдуваться быстрый ходьба толстый губа быть раскрывать 
36563	 вот почему несколько трепетать когда замечать сияние добрый бледно-голубой глаз соня слабый улыбка полный бледный губа 
36563	 целовать холодный губа холодный палец бормотать что 
36563	 мочь вымолвить слово смотреть бледный немного веснушчатый лицо видеть как оно улыбаться добрый губа добрый взгляд близорукий глаз 
36563	 сидеть глядеть внимательно трубкообразно сложенный губа этот 
36563	 гремучий некоторый другой змей под глаз или нижний губа находиться теплочувствительный ямка теплоглаз 
36563	 старуха только голова покачать сердито поджинать губа так познакомиться егор родитель 
36563	 глубоко уходить елка все глядеть раздувать ноздря шевелить тяжелый губа 
36563	 волос русый глаз серый нос прямой над верхний губа небольшой родинка 
36563	 волос русый глаз серый нос прямой над верхний губа небольшой родинка 
36563	 пощупать рука верхний губа ощущать под рука 
36563	 она вдруг тряхнуть голова волос она посыпаться плечо она засиять еще много закусывать губа рвануть гребенка 
36563	 неужели так губа разъедать что так 
36563	 плоский лицо вздернутый губа косой улыбочка так 
36563	 она молчать глядеть как ловить губа воздух 
36563	 чтобы еще хорошо мочь представлять это рассказывать такой случай свой жизнь сказать щелкнуть губа поставлять столик пустой бокал 
36563	 возможно мой тайный возлюбленная правильно оценивать мой взор потому что время при встреча если рядом она бывать капитан она почти смущаться как-то изгибать губа намек улыбка который 
36563	 беспокойство вместе ярмарочный любопытство драка кровь вместе постоянный ощущение униженность этот чрезмерный доза грубость все что здесь происходить вместе необходимость скрывать этот отягченность кривить губа улыбка свойский парень знать больше 
36563	 чем много ругать картина тем упрямый надуваться губа мой возлюбленная 
36563	 вдруг ощущать как-то слитно этот уединенный часть парк этот приглушенный музыка этот взрослый свежий девушка тяжелый веко яркий губа что-то покачнуться мой глаз 
36563	 надо слышать провоцировать шепот погружать губа сотрясать мочь какой-то детский 
36563	 вон как прошептать она один губа словно внезапно осознавать свой непоправимый 
36563	 поливать датуша девушка отворачиваться слегка закусывать губа чтобы рассмеяться 
36563	 иногда уставать однообразный шелестение губа говорить хорошо мой 
36563	 вот этот небрежный ирония тонкий толстый губа большой рот яконов несколько день 
